route_name,date
S1号线(机场线),2014年7月1日
1号线,2005年5月15日
2号线,2010年5月28日
S3号线(宁和线),2017年12月6日
3号线,2015年4月1日
4号线,2017年1月18日
S7号线(宁溧线),2018年5月26日
S8号线(宁天线),2014年8月1日
S9号线(宁高线),2017年12月30日
10号线,2014年7月1日
