route_name,date
1号线,2004年7月28日
2号线,2012年12月28日
3号线,2015年12月28日
4号线,2013年12月28日
6号线,2016年12月28日
7号线,2018年10月1日
8号线,2017年12月26日
8号线三期,2017年12月26日
11号线,2018年10月1日
21号线(阳逻线),2017年12月26日
